Time,CPU Usage (%),Memory Usage (MB),Free Memory (MB)
1090.4677069,0.0,500613120,25653407744
1090.4779552,0.0,500613120,25653329920
1090.4939888,0.0,500613120,25653399552
1090.5098789,0.0,500613120,25653297152
1090.5260441,0.0,500613120,25648492544
1090.5421347,0.0,500613120,25648504832
1090.5568383,0.0,500613120,25648484352
1090.5724638,0.0,500613120,25648459776
1090.5884915,0.0,500613120,25648427008
1090.6034686,0.0,500613120,25648402432
1090.6184753,0.0,500613120,25648381952
1090.6335525,0.0,500613120,25648369664
1090.6484519,0.0,500613120,25648361472
1090.6644955,0.0,500613120,25648365568
1090.6800251,0.0,500613120,25652776960
1090.6959962,0.0,500613120,25652768768
1090.7111217,0.0,500613120,25652764672
1090.7270023,104.2,500613120,25652793344
1090.7430582,0.0,500613120,25652789248
1090.7590099,0.0,500613120,25652752384
1090.774803,0.0,500613120,25652723712
1090.7898354,0.0,500613120,25652707328
1090.8055662,0.0,500613120,25652776960
1090.8216664,0.0,500613120,25652797440
1090.8376195,0.0,500613120,25652776960
1090.8537891,0.0,500613120,25652764672
1090.8696844,0.0,500613120,25652740096
1090.8844641,0.0,500613120,25652740096
1090.8999988,0.0,500613120,25652715520
1090.9149952,0.0,500613120,25652686848
1090.9309411,0.0,500613120,25652649984
1090.9469089,0.0,500613120,25652621312
1090.9636336,0.0,500613120,25652596736
1090.980019,0.0,500613120,25652645888
1090.9934192,0.0,500613120,25652625408
1091.0084992,0.0,500613120,25652596736
1091.024485,0.0,500613120,25652568064
1091.0404887,0.0,500613120,25652539392
1091.0567785,0.0,500613120,25652510720
1091.0719396,0.0,500613120,25652502528
1091.0880866,0.0,500613120,25652482048
1091.1039758,0.0,500613120,25652457472
1091.1191489,0.0,500613120,25652424704
1091.1617309,0.0,500613120,25652424704
1091.181517,0.0,500613120,25652469760
1091.197595,0.0,500613120,25652449280
1091.2135202,0.0,500613120,25652420608
1091.2296087,0.0,500613120,25652391936
1091.2445804,0.0,500613120,25653030912
1091.2606382,0.0,500613120,25657065472
1091.2760821,0.0,500613120,25657040896
1091.2920887,97.7,500613120,25657008128
1091.3081596,0.0,500613120,25656987648
1091.3243549,0.0,500613120,25657540608
1091.3402949,0.0,500613120,25657528320
1091.3563297,0.0,500613120,25657499648
1091.3716848,0.0,500613120,25657470976
1091.3869655,0.0,500613120,25657450496
1091.4024715,0.0,500613120,25657450496
1091.4183008,0.0,500613120,25657413632
1091.4332699,0.0,500613120,25657401344
1091.4493694,0.0,500613120,25657368576
1091.4660561,0.0,500613120,25657327616
1091.4809202,0.0,500613120,25657311232
1091.496832,0.0,500613120,25656147968
1091.5127862,0.0,500613120,25657470976
1091.5287624,0.0,500613120,25657438208
1091.5447886,0.0,500613120,25651765248
1091.5609579,0.0,500613120,25650659328
1091.5765121,0.0,500613120,25650659328
1091.5927951,0.0,500613120,25646772224
1091.6101465,0.0,500613120,25638424576
1091.6245605,0.0,500613120,25634189312
1091.6404241,0.0,500613120,25637675008
1091.656944,0.0,500613120,25642418176
1091.6719279,0.0,500613120,25642049536
1091.6880121,0.0,500613120,25650356224
1091.7028811,0.0,500613120,25650155520
1091.7178562,0.0,500613120,25649995776
1091.7338833,0.0,500613120,25645879296
1091.7499849,0.0,500613120,25645846528
1091.7659899,0.0,500613120,25645436928
1091.7813932,0.0,500613120,25644408832
1091.7973707,0.0,500613120,25643958272
1091.8135351,0.0,500613120,25643839488
1091.828447,0.0,500613120,25643737088
1091.8444036,0.0,500613120,25643704320
1091.8605469,0.0,500613120,25645535232
1091.8759917,0.0,500613120,25650872320
1091.8914941,0.0,500613120,25649131520
1091.9071953,0.0,500613120,25649074176
1091.9229131,0.0,500613120,25644322816
1091.9389128,0.0,500613120,25644331008
1091.9550285,0.0,500613120,25644236800
1091.9709991,0.0,500613120,25644220416
1091.9871785,0.0,500613120,25644158976
1092.0024656,0.0,500613120,25644498944
1092.0188496,0.0,500613120,25644351488
1092.0344379,0.0,500613120,25644400640
1092.0494697,0.0,500613120,25639997440
1092.0654754,0.0,500613120,25639972864
1092.0809793,0.0,500613120,25639964672
1092.0960626,0.0,500613120,25639952384
1092.1121377,0.0,500613120,25639931904
1092.1535244,0.0,500613120,25639931904
1092.1773528,0.0,500613120,25639817216
1092.1912014,0.0,500613120,25639792640
1092.2066147,0.0,500613120,25639768064
1092.2225255,0.0,500613120,25639763968
1092.2385144,0.0,500613120,25639743488
1092.2535969,0.0,500613120,25639723008
1092.269089,0.0,500613120,25639673856
1092.2850914,0.0,500613120,25639632896
1092.3001706,0.0,500613120,25639608320
1092.3161973,0.0,500613120,25639575552
1092.3321668,0.0,500613120,25639546880
1092.3481584,0.0,500613120,25639518208
1092.3631498,0.0,500613120,25639493632
1092.3787536,0.0,500613120,25639473152
