Time,CPU Usage (%),Memory Usage (MB),Free Memory (MB)
1261.5137525,0.0,506494976,26359410688
1261.5313268,0.0,506494976,26359410688
1261.547425,0.0,506494976,26359410688
1261.5628932,0.0,506494976,26353881088
1261.578252,0.0,506494976,26353881088
1261.5935183,0.0,506494976,26353881088
1261.6088358,0.0,506494976,26353881088
1261.6240334,0.0,506494976,26353881088
1261.6389788,0.0,506494976,26353881088
1261.6542477,0.0,506494976,26353881088
1261.6696466,0.0,506494976,26353881088
1261.6852601,0.0,506494976,26353881088
1261.6999245,0.0,506494976,26353881088
1261.715765,0.0,506494976,26354028544
1261.7309326,0.0,506494976,26356002816
1261.7471235,0.0,506494976,26356002816
1261.7629025,0.0,506494976,26356002816
1261.778526,0.0,506494976,26356002816
1261.7945625,0.0,506494976,26356011008
1261.810427,0.0,506494976,26356011008
1261.8258396,0.0,506494976,26356011008
1261.8409983,0.0,506494976,26356011008
1261.855933,0.0,506494976,26355957760
1261.871941,0.0,506494976,26359042048
1261.8881279,0.0,506494976,26359042048
1261.9035587,0.0,506494976,26359042048
1261.9198291,0.0,506494976,26359042048
1261.9356775,0.0,506494976,26359148544
1261.9509572,0.0,506494976,26359148544
1261.9657553,0.0,506494976,26359148544
1261.9819212,0.0,506494976,26359148544
1261.9983149,0.0,506494976,26359128064
1262.0142259,0.0,506494976,26359005184
1262.029063,0.0,506494976,26359005184
1262.0446492,0.0,506494976,26358972416
1262.0608413,0.0,506494976,26358980608
1262.0769146,0.0,506494976,26358784000
1262.0924584,0.0,506494976,26358779904
1262.1081017,0.0,506494976,26358730752
1262.1395336,0.0,506494976,26358730752
1262.1869644,0.0,506494976,26358730752
1262.2019401,0.0,506494976,26358738944
1262.2174759,0.0,506494976,26358702080
1262.2332814,0.0,506494976,26358718464
1262.248144,0.0,506494976,26358718464
1262.2642624,0.0,506494976,26358718464
1262.2796498,0.0,506494976,26358718464
1262.296327,0.0,506494976,26358603776
1262.3110945,0.0,506494976,26358603776
1262.3262614,0.0,506494976,26358669312
1262.3414551,0.0,506494976,26358669312
1262.3572073,0.0,506494976,26358669312
1262.3729451,0.0,506494976,26358865920
1262.3892719,0.0,506494976,26358865920
1262.4050796,0.0,506494976,26358726656
1262.4201636,0.0,506494976,26358726656
1262.4356337,0.0,506494976,26358661120
1262.4513579,0.0,506494976,26358661120
1262.4660292,0.0,506494976,26358644736
1262.4816917,0.0,506494976,26358644736
1262.4972977,0.0,506494976,26358644736
1262.5128105,0.0,506494976,26358644736
1262.5281832,0.0,506494976,26358644736
1262.5437497,97.7,506494976,26357223424
1262.5588148,0.0,506494976,26352623616
1262.5748773,0.0,506494976,26352623616
1262.5897975,0.0,506494976,26352623616
1262.6054704,0.0,506494976,26347323392
1262.6213472,0.0,506494976,26347352064
1262.637325,0.0,506494976,26343407616
1262.6534591,0.0,506494976,26330800128
1262.6695377,0.0,506494976,26334789632
1262.6855957,0.0,506494976,26334388224
1262.7018648,0.0,506494976,26338439168
1262.7172823,0.0,506494976,26346131456
1262.7328167,0.0,506494976,26346192896
1262.7488907,0.0,506494976,26342162432
1262.7648419,0.0,506494976,26341961728
1262.7808171,0.0,506494976,26341498880
1262.7958291,0.0,506494976,26340458496
1262.8113618,0.0,506494976,26340188160
1262.8264556,0.0,506494976,26340147200
1262.8413943,0.0,506494976,26340081664
1262.8564219,0.0,506494976,26339033088
1262.8714277,0.0,506494976,26345463808
1262.8874072,0.0,506494976,26343800832
1262.902972,0.0,506494976,26342813696
1262.9190921,0.0,506494976,26335490048
1262.9355871,0.0,506494976,26326585344
1262.94893,0.0,506494976,26323116032
1262.9640102,0.0,506494976,26317025280
1262.979459,0.0,506494976,26316115968
1262.9939534,0.0,506494976,26313457664
1263.0094256,0.0,506494976,26311389184
1263.0246979,0.0,506494976,26309738496
1263.0396164,0.0,506494976,26309128192
1263.0582081,208.3,506494976,26307211264
1263.0728427,0.0,506494976,26301280256
1263.0871373,0.0,506494976,26303389696
1263.1022151,0.0,506494976,26300076032
1263.1502597,0.0,506494976,26295975936
1263.1669071,0.0,506494976,26295107584
1263.1816581,0.0,506494976,26294448128
1263.1964204,0.0,506494976,26293370880
1263.2114939,0.0,506494976,26291490816
1263.227513,0.0,506494976,26291355648
1263.2434593,0.0,506494976,26290950144
1263.2584628,0.0,506494976,26289979392
1263.2734703,0.0,506494976,26288754688
1263.2894699,0.0,506494976,26287874048
1263.3050684,0.0,506494976,26286034944
1263.3207477,0.0,506494976,26284019712
1263.3362622,0.0,506494976,26283098112
1263.3516652,0.0,506494976,26282725376
1263.3678876,0.0,506494976,26282192896
1263.3833278,0.0,506494976,26295574528
1263.3991795,0.0,506494976,26295574528
1263.4138121,0.0,506494976,26295078912
1263.4296084,0.0,506494976,26295078912
1263.4448172,0.0,506494976,26295078912
1263.460518,0.0,506494976,26295078912
1263.4769166,0.0,506494976,26295078912
1263.4927628,0.0,506494976,26295078912
1263.5079016,0.0,506494976,26294112256
1263.5238529,0.0,506494976,26293714944
1263.5399996,0.0,506494976,26293370880
1263.5558735,0.0,506494976,26292928512
1263.5709481,0.0,506494976,26292948992
1263.586595,0.0,506494976,26292899840
1263.6017222,0.0,506494976,26282483712
1263.6173582,0.0,506494976,26282430464
1263.6318244,0.0,506494976,26282336256
1263.64685,0.0,506494976,26281955328
1263.6618334,0.0,506494976,26281177088
1263.6778846,0.0,506494976,26283773952
1263.6938773,0.0,506494976,26282115072
1263.7094593,0.0,506494976,26281488384
1263.7251468,0.0,506494976,26281459712
1263.7411143,0.0,506494976,26281447424
1263.7572034,0.0,506494976,26281447424
1263.773156,0.0,506494976,26281447424
1263.7881542,0.0,506494976,26281447424
1263.8036277,0.0,506494976,26281443328
1263.8197888,0.0,506494976,26281443328
1263.8356241,0.0,506494976,26281443328
1263.8523185,0.0,506494976,26276642816
1263.8678119,0.0,506494976,26276990976
1263.8826062,0.0,506494976,26276970496
1263.8986504,0.0,506494976,26276593664
1263.9140547,0.0,506494976,26276069376
1263.9290523,0.0,506494976,26276073472
1263.9440794,0.0,506494976,26276073472
1263.9601673,0.0,506494976,26275917824
1263.9760893,0.0,506494976,26276134912
1263.9920773,0.0,506494976,26276126720
1264.0076067,0.0,506494976,26276241408
1264.0231341,0.0,506494976,26276298752
1264.0392736,0.0,506494976,26276282368
1264.0569645,0.0,506494976,26277347328
1264.0712471,0.0,506494976,26277380096
1264.087348,0.0,506494976,26277273600
1264.1028318,0.0,506494976,26277093376
1264.1195203,0.0,506494976,26277888000
1264.1335331,0.0,506494976,26277830656
1264.1476648,0.0,506494976,26277830656
1264.1626502,0.0,506494976,26277830656
1264.1777013,0.0,506494976,26277830656
1264.1936953,0.0,506494976,26278817792
1264.2093047,0.0,506494976,26290892800
1264.2251943,0.0,506494976,26291621888
1264.2415152,0.0,506494976,26291867648
1264.2562254,0.0,506494976,26292043776
1264.2712082,0.0,506494976,26292215808
1264.2864436,0.0,506494976,26292391936
1264.3021622,0.0,506494976,26292461568
1264.3177395,0.0,506494976,26292551680
1264.3321314,0.0,506494976,26292736000
1264.347844,0.0,506494976,26292944896
1264.3634284,0.0,506494976,26293100544
1264.3784816,0.0,506494976,26292133888
1264.3934455,0.0,506494976,26291720192
1264.40895,0.0,506494976,26291281920
1264.4250702,0.0,506494976,26290884608
1264.4400696,0.0,506494976,26291204096
1264.4550878,0.0,506494976,26294571008
1264.4699967,0.0,506494976,26294022144
1264.4862482,0.0,506494976,26293743616
1264.5017356,97.7,506494976,26293534720
1264.5182434,0.0,506494976,26292908032
1264.5324902,0.0,506494976,26292117504
1264.5475244,0.0,506494976,26290683904
1264.5634711,0.0,506494976,26289078272
1264.578477,0.0,506494976,26288459776
1264.5945029,0.0,506494976,26281365504
1264.6100298,0.0,506494976,26281414656
1264.6259891,0.0,506494976,26281320448
1264.6412369,0.0,506494976,26281320448
1264.656048,0.0,506494976,26281156608
1264.6710764,0.0,506494976,26281177088
1264.6870727,0.0,506494976,26280456192
1264.7025821,97.7,506494976,26280448000
1264.7189063,0.0,506494976,26280443904
1264.7350046,0.0,506494976,26280321024
1264.7507324,0.0,506494976,26280321024
1264.7666376,0.0,506494976,26282205184
1264.7825228,0.0,506494976,26282065920
1264.7987812,0.0,506494976,26281938944
1264.8148669,0.0,506494976,26281795584
1264.8298428,0.0,506494976,26281123840
1264.8448429,0.0,506494976,26280665088
1264.8607729,0.0,506494976,26280534016
1264.8767587,0.0,506494976,26280198144
1264.891879,0.0,506494976,26280345600
1264.9068419,0.0,506494976,26280349696
1264.9218823,0.0,506494976,26280452096
1264.9368961,0.0,506494976,26280452096
1264.9518665,0.0,506494976,26280452096
1264.9672377,0.0,506494976,26280349696
1264.9836908,0.0,506494976,26280349696
1264.9980844,0.0,506494976,26280407040
1265.0129209,0.0,506494976,26288877568
1265.0293267,0.0,506494976,26291867648
1265.0452074,0.0,506494976,26291929088
1265.0611773,104.2,506494976,26291949568
1265.0762743,0.0,506494976,26291707904
1265.0914932,0.0,506494976,26288410624
1265.1067645,0.0,506494976,26288422912
1265.1431367,0.0,506494976,26288381952
1265.1808376,0.0,506494976,26288386048
1265.2013498,0.0,506494976,26288812032
1265.2161797,0.0,506494976,26288578560
1265.2323842,0.0,506494976,26288623616
1265.2460964,0.0,506494976,26288488448
1265.2610972,0.0,506494976,26286944256
1265.2769865,0.0,506494976,26287771648
1265.2915529,97.7,506494976,26287927296
1265.3068995,0.0,506494976,26288226304
1265.3217599,0.0,506494976,26287837184
1265.3367517,0.0,506494976,26287374336
1265.352144,0.0,506494976,26299555840
